LoadN,B,C,D,E,R2
-250,1.13675393981238e-06,0.50003094919241,6.08767066661332e-05,0.999987172224473,-3.69427947364276e-05
-200,4.16727398814133e-07,0.500052974450713,1.84258452130513e-05,0.999989132603517,-0.000138740351625977
-150,2.22660973860089e-14,0.500000479101572,2.22044604925031e-14,0.999991179578468,-0.000119966493280499
-100,2.22390194367511e-14,0.500000517181031,2.22044604925031e-14,0.999990921576823,-3.8520101960593e-05
-50,2.22061410058705e-14,0.500000439622542,2.22044604925031e-14,0.999991148994846,-0.000775801651535124
